calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
HD,HP,Laptop 15s-fq1119n,1.69,496.64,15.6,Windows 10 Home S
Full HD,Lenovo,IdeaPad 5,1.5,496.64,14,Windows 10 Home S
Full HD,Asus,TUF Gaming FX504GD-EN1354,2.3,623.69,15.6,No
NA,Lenovo,V15 ADA,NA,357.49,NA,NA
HD,HP,14s-dq1038ns,1.46,480.91,14,Windows 10 Home S
Full HD,HP,Chromebook x360 14b-ca0001ns,1.58,339.34,14,Chrome OS
Full HD,HP,255 G8,1.74,499.06,15.6,Windows 10 Home
HD+,HP,Chromebook x360 12b-ca0000ns,1.35,315.14,12,Chrome OS
HD+,HP,Chromebook x360 12b-ca0001ns,1.35,303.04,12,Chrome OS
NA,Asus,E210MA-GJ003R,1.2,284.89,NA,NA
HD,HP,Stream 11-ak0004ns,1.05,272.79,11.6,Windows 10 Home S
Full HD,HP,ProBook 455 G7,2.0,696.29,15.6,Windows 10 Pro
