modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
F415JA-EB501,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),549.0,NA,NA
VivoBook F515JA-BR137T,ASUS,15.0,HD,Windows 10 Home,599.0,NA,NA
MacBook Pro MYDA2Y/A,APPLE,13.0,Retina,MacOS,1289.0,NA,NA
Notebook 255 G7 14Z97EA,HP,15.0,Full-HD,Windows 10 Home,479.0,NA,NA
Laptop 15s-fq2024ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),769.0,NA,NA
Laptop 14s-dq2001ns,HP,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
Laptop 15s-fq2023ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),599.0,NA,NA
MateBook D15,HUAWEI,15.0,Full-HD,Windows 10 Home,699.0,NA,NA
IdeaPad Duet 3 10IGL5,LENOVO,10.0,WUXGA,Windows 10 Home,529.0,NA,NA
BRAVO 15,MSI,15.0,Full-HD,FreeDOS (Sin sistema operativo),849.0,NA,NA
HP 14S-FQ0002NS,HEWLETT PACKARD,14.0,HD,Windows 10 Home,329.0,NA,NA
Legion 5 15IMH05,LENOVO,15.0,Full-HD,FreeDOS (Sin sistema operativo),949.0,NA,NA
VivoBook14 F413JA-EK307T,ASUS,14.0,Full-HD,Windows 10 Home,699.0,NA,NA
MagicBook Pro,HONOR,16.0,Full-HD,Windows 10 Home,803.0,NA,NA
MateBook D14,HUAWEI,14.0,Full-HD,Windows 10 Home,749.0,NA,NA
TUF Gaming F17 FX706LI-H7117,ASUS,17.0,Full-HD,FreeDOS (Sin sistema operativo),1199.0,NA,NA
VivoBook 15 K513EA-BQ684,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),749.0,NA,NA
Chromebook Spin 311,ACER,11.0,HD,Chrome OS,254.0,NA,NA
MacBook Pro (2020) MWP42Y/A,APPLE,13.0,Retina,MacOS,1799.0,NA,NA
VivoBook 15 K513EA-BQ158,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),649.0,NA,NA
Nitro 5 AN515-55,ACER,15.0,Full-HD,FreeDOS (Sin sistema operativo),999.0,NA,NA
ROG Zephyrus M15 GU502LW-AZ037T,ASUS,15.0,Full-HD,Windows 10 Home,1599.0,NA,NA
