modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
MSI GF65 Thin 10SDR-888ES,MSI,15.0,Full-HD,Windows 10 Home,1099.0,NA,NA
HP OMEN 15-ek0013ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),1104.0,NA,NA
Chromebook CB315-3HT,ACER,15.0,Full-HD,Chrome OS,381.0,NA,NA
MSI GL65 Leopard 10SFSK-450ES,MSI,15.0,Full-HD,Windows 10 Home,1449.0,NA,NA
HP Notebook 255 G7 14Z97EA,HP,15.0,Full-HD,Windows 10 Home,479.0,NA,NA
HP Laptop 13-ba1017ns,HP,13.0,Full-HD,Windows 10 Home,1019.0,NA,NA
Yoga 9 14ITL5,LENOVO,14.0,UHD 4K,Windows 10 Pro,2299.0,NA,NA
HP Laptop 15s-fq2003ns,HP,15.0,Full-HD,Windows 10 Home,649.0,NA,NA
MSI GF65 Thin 10SDR-1241ES,MSI,15.0,Full-HD,Windows 10 Home,1199.0,NA,NA
MSI GS66 Stealth 10UE -260ES,MSI,15.0,Full-HD,Windows 10 Home,2299.0,NA,NA
ROG Zephyrus S17 GX701LWS-EV029T,ASUS,17.0,Full-HD,Windows 10 Home,1849.0,NA,NA
Ideapad 330,LENOVO,15.0,Full-HD,Windows 10 Home,999.0,NA,NA
ZenBook™ 13 UX325EA-EG016T,ASUS,13.0,Full-HD,Windows 10 Home,999.0,NA,NA
HP 14-dv0005ns,HEWLETT PACKARD,14.0,Full-HD,Windows 10 Home,849.0,NA,NA
Yoga Creator 7 15IMH05,LENOVO,15.0,Full-HD,Windows 10 Home,1149.0,NA,NA
LENOVO Yoga C930,LENOVO,13.0,HD,Windows 10 Home,1004.0,NA,NA
Ioxbook 15R5A,PRIMUX,15.0,Full-HD,Windows 10 Home,599.0,NA,NA
Yoga 920-13IKB,LENOVO,13.0,UHD 4K,Windows 10 Home,1699.0,NA,NA
ProArt StudioBook Pro17 J700G3T-AV103R,ASUS,17.0,WUXGA,Windows 10 Pro,2199.0,NA,NA
Nitro 5,ACER,15.0,Full-HD,Windows 10 Home,999.0,NA,NA
Duet 3 10IGL5,LENOVO,10.0,WUXGA,Windows 10 Home in S Mode,384.0,NA,NA
ZenBook 14 UX433FA-A5090T,ASUS,14.0,Full-HD,Windows 10 Home,849.0,NA,NA
Satellite Pro C50-E-10C,DYNABOOK,15.0,Full-HD,Windows 10 Pro,699.0,NA,NA
Yoga 910-13IKB,LENOVO,13.0,Full-HD,Windows 10 Home 64 bits,1699.0,NA,NA
Ioxbook 15R3A,PRIMUX,15.0,Full-HD,Windows 10 Home,569.0,NA,NA
LG Gram 14Z90N-V-AR53B,LG ELECTRONICS,14.0,Full-HD,Windows 10 Home,1199.0,NA,NA
MSI Creator 15 A10UH-037ES,MSI,15.0,UHD 4K,Windows 10 Pro,3799.0,NA,NA
ideapad 720S-13IKB,LENOVO,13.0,Full-HD,Windows 10,949.0,NA,NA
